                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.7832,                 4.8892,                 4.2367,                 3.6243,                 7.5508,                 4.2656,                0.00041,                0.04931,                0.00035,                  9e-05,                  3.761,                 4.7783,                 4.1541,                 3.6604,                 7.7163,                 4.1527,                 0.0838,                 0.0018,                 0.0018
                      2,                 3.7699,                 4.8432,                 4.2184,                 3.5792,                 7.2237,                  4.267,                0.00036,                0.04792,                0.00029,                  4e-05,                 3.7683,                 4.7544,                 4.1472,                 3.6695,                 7.5453,                 4.1441,               0.066663,              0.0036634,              0.0036634
                      3,                 3.8181,                 4.8224,                 4.2096,                 3.6625,                 7.0148,                 4.2219,                0.00034,                0.04722,                0.00024,                  3e-05,                 3.7727,                 4.7401,                 4.1424,                 3.6775,                 7.4616,                  4.139,               0.049489,              0.0054891,              0.0054891
                      4,                 3.6957,                 4.7611,                 4.1966,                 3.5515,                   6.67,                  4.201,                0.00025,                0.04444,                0.00017,                  2e-05,                 3.7733,                 4.7318,                 4.1384,                 3.6762,                 7.4143,                 4.1353,               0.032277,              0.0072772,              0.0072772
                      5,                 3.6775,                 4.8403,                 4.2034,                 3.5154,                  6.969,                 4.2065,                0.00035,                0.04444,                0.00026,                  3e-05,                 3.7719,                 4.7258,                 4.1338,                 3.6785,                 7.4389,                 4.1297,               0.015028,              0.0090278,              0.0090278
                      6,                 3.7483,                 4.7615,                 4.1749,                 3.5594,                 6.7658,                 4.1863,                0.00042,                0.04514,                0.00033,                  4e-05,                 3.7718,                 4.7224,                 4.1289,                 3.6705,                 7.4261,                 4.1262,               0.009505,               0.009505,               0.009505
                      7,                 3.7555,                  4.717,                 4.1824,                 3.6065,                 6.5358,                 4.2035,                0.00213,                0.04268,                0.00173,                 0.0004,                 3.7678,                  4.714,                 4.1428,                 3.6837,                 7.3213,                 4.1506,               0.009505,               0.009505,               0.009505
                      8,                 3.7191,                 4.7069,                 4.1685,                 3.5622,                 6.4191,                 4.1701,                0.00099,                0.05304,                0.00067,                0.00015,                 3.7619,                 4.9465,                 4.2945,                 3.6431,                 7.1569,                 4.4628,               0.009406,               0.009406,               0.009406
                      9,                 3.7677,                 4.6981,                 4.1571,                 3.6183,                 6.5822,                 4.1576,                0.00096,                0.03026,                0.00055,                0.00021,                 3.8767,                 6.4646,                 4.6659,                 3.7853,                 6.7907,                  5.381,               0.009307,               0.009307,               0.009307
                     10,                 3.8101,                 4.6807,                 4.1522,                 3.6794,                 6.6352,                 4.1598,                 0.0008,                 0.0249,                0.00046,                0.00015,                 3.9078,                 7.5355,                 4.9471,                 3.7069,                 7.1598,                 5.3987,               0.009208,               0.009208,               0.009208
